nci_id,nct_id,protocol_id,ccr_id,ctep_id,dcp_id,other_ids__name,other_ids__value,associated_studies__study_id,associated_studies__study_id_type,outcome_measures__name,outcome_measures__description,outcome_measures__timeframe,outcome_measures__type_code,amendment_date,current_trial_status,current_trial_status_date,start_date,start_date_type_code,completion_date,completion_date_type_code,record_verification_date,brief_title,official_title,acronym,keywords,brief_summary,detail_description,classification_code,interventional_model,study_source,accepts_healthy_volunteers_indicator,study_protocol_type,study_subtype_code,study_population_description,study_model_code,study_model_other_text,sampling_method_code,bio_specimen__f1,bio_specimen__f2,bio_specimen__f3,bio_specimen__f4,primary_purpose__primary_purpose_code,primary_purpose__primary_purpose_other_text,primary_purpose__primary_purpose_additional_qualifier_code,phase__phase,phase__phase_other_text,phase__phase_additional_qualifier_code,masking__masking,masking__masking_allocation_code,masking__masking_role_investigator,masking__masking_role_outcome_assessor,masking__masking_role_subject,masking__masking_role_caregiver,principal_investigator,central_contact__central_contact_email,central_contact__central_contact_name,central_contact__central_contact_phone,central_contact__central_contact_type,lead_org,collaborators__name,collaborators__functional_role,sites__contact_email,sites__contact_name,sites__contact_phone,sites__recruitment_status,sites__recruitment_status_date,sites__local_site_identifier,sites__org_address_line_1,sites__org_address_line_2,sites__org_city,sites__org_country,sites__org_email,sites__org_family,sites__org_fax,sites__org_name,sites__org_to_family_relationship,sites__org_phone,sites__org_postal_code,sites__org_state_or_province,sites__org_status,sites__org_status_date,sites__org_tty,sites__org_va,sites__org_coordinates__lat,sites__org_coordinates__lon,anatomic_sites__-,diseases__inclusion_indicator,diseases__lead_disease_indicator,diseases__nci_thesaurus_concept_id,diseases__preferred_name,diseases__display_name,diseases__paths__direction,diseases__paths__concepts__idx,diseases__paths__concepts__label,diseases__paths__concepts__code,diseases__type__001,diseases__type__002,diseases__synonyms__-,diseases__synonyms,diseases__parents__001,diseases__parents__002,diseases__parents__003,biomarkers,minimum_target_accrual_number,eligibility__structured__gender,eligibility__structured__max_age,eligibility__structured__max_age_number,eligibility__structured__max_age_unit,eligibility__structured__min_age,eligibility__structured__min_age_number,eligibility__structured__min_age_unit,eligibility__structured__max_age_in_years,eligibility__structured__min_age_in_years,eligibility__unstructured__display_order,eligibility__unstructured__inclusion_indicator,eligibility__unstructured__description,number_of_arms,arms__arm_name,arms__arm_type,arms__arm_description,arms__interventions__intervention_name,arms__interventions__intervention_type,arms__interventions__intervention_code,arms__interventions__intervention_description,arms__interventions__parents__001,arms__interventions__parents__002,arms__interventions__parents__003,arms__interventions__inclusion_indicator,arms__interventions__synonyms__-,arms__interventions__synonyms,arms__interventions__intervention_category
NCI-2009-00336,NCT00392327,ACNS0332,null,ACNS0332,null,Study Protocol Other Identifier,07-271,NCI-2009-00334,NCI,The estimated full-scale IQ (FSIQ) at 9+/-3 months post diagnosis for medulloblastoma patients,"Post-treatment neurocognitive function was assessed. Full-scale IQ (FSIQ) is a representative measurement for neurocognitive function. FSIQ was measured by IQ tests. Assessments within the time window, from eligible and evaluable patients are reported. The time window is 9+/-3 months post diagnosis, only the assessments before progression date were reported. The Range of FSIQ is 50-150. A higher FSIQ is better. Mean and standard deviation of FSIQ were calculated and reported.",6 – 12 months post diagnosis,SECONDARY,2018-05-15T00:00:00,Closed to Accrual and Intervention,6/30/19,3/26/07,ACTUAL,null,null,9/30/19,"Chemotherapy and Radiation Therapy in Treating Young Patients with Newly Diagnosed, Previously Untreated, High-Risk Medulloblastoma / PNET",Efficacy of Carboplatin Administered Concomitantly with Radiation and Isotretinoin as a Pro-Apoptotic Agent in Other Than Average Risk Medulloblastoma / PNET Patients,null,null,"This randomized phase III trial studies different chemotherapy and radiation therapy regimens to compare how well they work in treating young patients with newly diagnosed, previously untreated, high-risk medulloblastoma. Drugs used in chemotherapy, such as vincristine sulfate, cisplatin, cyclophosphamide, and carboplatin, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving more than one drug (combination chemotherapy) may kill more tumor cells. Radiation therapy uses high-energy x-rays to kill tumor cells. Carboplatin may make tumor cells more sensitive to radiation therapy. It is not yet known which chemotherapy and radiation therapy regimen is more effective in treating brain tumors.","PRIMARY OBJECTIVES: \r\nI. To determine whether carboplatin radiosensitization increases long term event-free survival for high risk medulloblastoma/primitive neuroectodermal tumor (PNET) patients.\r\nII. To determine whether isotretinoin increases long term event-free survival for high risk medulloblastoma/PNET patients.\r\n\r\nSECONDARY OBJECTIVES:\r\nI. To compare residual disease response to radiation alone versus radiation plus carboplatin.\r\nII. To identify molecular prognostic indicators suitable for patient stratification in future trials.\r\nIII. To evaluate the health-related quality of life (HRQOL) during phases of active treatment specific to treatment modalities.\r\nIV. To describe the neuropsychological functioning of the study population and to evaluate the relationship between neuropsychological status and health related quality of life.\r\n\r\nOUTLINE: Patients are randomized to Arm A or Arm B (Arms C and D closed to accrual as of Amendment 3 1/27/15).\r\n\r\nARM A (standard chemoradiotherapy and standard maintenance therapy):\r\n\r\nCHEMORADIOTHERAPY: Patients undergo radiation therapy once daily (QD) five days a week for 6 weeks. Patients also receive vincristine sulfate intravenously (IV) over 1 minute once weekly for 6 weeks. Six weeks after completion of chemoradiotherapy, patients proceed to maintenance therapy.\r\n\r\nMAINTENANCE THERAPY: Patients receive cisplatin IV over 6 hours on day 1, vincristine sulfate IV over 1 minute on days 1 and 8, and cyclophosphamide IV over 1 hour on days 2 and 3. Patients also receive filgrastim subcutaneously (SC) or IV beginning on day 4 and continuing until blood counts recover (at least 10 days). Treatment repeats every 28 days for a total of 6 courses in the absence of disease progression or unacceptable toxicity. \r\n\r\nARM B (standard chemoradiotherapy plus carboplatin and standard maintenance therapy): \r\n\r\nCHEMORADIOTHERAPY: Patients receive vincristine sulfate and undergo radiation therapy as in Arm I. Patients also receive carboplatin IV over 15 minutes on each day of radiation therapy. Six weeks after completion of chemoradiotherapy, patients proceed to maintenance therapy.\r\n\r\nMAINTENANCE THERAPY: Patients receive maintenance therapy as in Arm I.\r\n\r\nARM C (standard chemoradiotherapy, standard maintenance therapy plus isotretinoin, and continuation therapy with isotretinoin - CLOSED TO ACCRUAL 1/27/15): \r\n\r\nCHEMORADIOTHERAPY: Patients undergo chemoradiotherapy as in Arm I. Six weeks after completion of chemoradiotherapy, patients proceed to maintenance therapy.\r\n\r\nMAINTENANCE THERAPY: Patients receive isotretinoin orally (PO) twice daily (BID) on day 1 and days 16-28 and cisplatin, vincristine sulfate, cyclophosphamide, and filgrastim as in Arm I maintenance therapy. Treatment repeats every 28 days for a total of 6 courses in the absence of disease progression or unacceptable toxicity. Patients then proceed to continuation therapy.\r\n\r\nCONTINUATION THERAPY: Patients receive isotretinoin PO BID on days 15-28 every 28 days for up to 6 courses in the absence of disease progression or unacceptable toxicity. \r\n\r\nARM D (standard chemoradiotherapy plus carboplatin, standard maintenance therapy plus isotretinoin, and continuation therapy with isotretinoin - CLOSED TO ACCRUAL 1/27/15):\r\n\r\nCHEMORADIOTHERAPY: Patients undergo chemoradiotherapy as in Arm II. Six weeks after completion of chemoradiotherapy, patients proceed to maintenance therapy.\r\n\r\nMAINTENANCE THERAPY: Patients receive maintenance therapy as in Arm III. Patients then proceed to continuation therapy.\r\n\r\nCONTINUATION THERAPY: Patients receive continuation therapy as in Arm III.\r\n\r\nAfter completion of study treatment, patients are followed up periodically for 1 year.",Efficacy,Parallel,National,NO,Interventional,null,null,null,null,null,bio_specimen_description,null,bio_specimen_retention_code,null,TREATMENT,null,null,III,null,null,OPEN,Randomized Controlled Trial,null,null,null,null,James Michael Olson,null,null,null,null,Children's Oncology Group,National Cancer Institute,FUNDING_SOURCE,null,Site Public Contact,800-888-8823,CLOSED_TO_ACCRUAL,10/24/13,,22 South Greene Street,null,Baltimore,United States,null,University of Maryland Marlene and Stewart Greenebaum Comprehensive Cancer Center,null,University of Maryland / Greenebaum Cancer Center,ORGANIZATIONAL,800-888-8823,21201,MD,ACTIVE,4/2/14,800-735-2258,FALSE,39.294,-76.6226,Brain and Nervous System,TRIAL,YES,C3222,Medulloblastoma,Medulloblastoma,1,0,Central Nervous System Neoplasm,C9293,grade,subtype,,"CNS, medulloblastoma",C6990,C3569,C170814,null,400,BOTH,21 Years,21,Years,3 Years,3,Years,21,3,1,TRUE,"Newly diagnosed, previously untreated: (1) M0 medulloblastoma with > 1.5 cm^2 residual; (2) M+ medulloblastoma; patients with diffusely anaplastic medulloblastoma are eligible regardless of M-stage or residual tumor\r\n* As of amendment # 2, enrollment of patients with supratentorial PNET has been discontinued\r\n* All patients with M4 disease are not eligible",4,Arm A (chemoradiotherapy),ACTIVE_COMPARATOR,"CHEMORADIOTHERAPY: Patients undergo radiation therapy QD five days a week for 6 weeks. Patients also receive vincristine sulfate IV over 1 minute once weekly for 6 weeks. Six weeks after completion of chemoradiotherapy, patients proceed to maintenance therapy.\r\n\r\nMAINTENANCE THERAPY: Patients receive cisplatin IV over 6 hours on day 1, vincristine sulfate IV over 1 minute on days 1 and 8, and cyclophosphamide IV over 1 hour on days 2 and 3. Patients also receive filgrastim SC or IV beginning on day 4 and continuing until blood counts recover (at least 10 days).\r\n\r\nTreatment repeats every 28 days for a total of 6 courses in the absence of disease progression or unacceptable toxicity.",Cyclophosphamide,Drug,C405,"A synthetic alkylating agent chemically related to the nitrogen mustards with antineoplastic and immunosuppressive activities.  In the liver, cyclophosphamide is converted to the active metabolites aldophosphamide and phosphoramide mustard, which bind to DNA, thereby inhibiting DNA replication and initiating cell death. Check for active clinical trials or closed clinical trials using this agent. (NCI Thesaurus)Health professional",C574,C697,,TRIAL,,CYCLO-cell,Agent
,,,,,,Study Protocol Other Identifier,CDR0000511991,NCI-2009-00383,NCI,Metacognition Index (MI) on the Behavior Rating Inventory of Executive Function (BRIEF) at 30+/-6 months post diagnosis for medulloblastoma patients,"Metacognition index (MI) was measured by BRIEF test. Assessments within the time window, from eligible and evaluable patients are reported. If the patient had disease progression, only the assessments before progression date were reported. The MI is a standard T- score, and it ranges from 0 to 100. The higher score reported suggests a higher level of dysfunction. Mean and standard deviation of MI were calculated and reported.",24 – 36 months post diagnosis,SECONDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,One Children's Way,null,Little Rock,United States,null,null,null,Arkansas Children's Hospital,null,501-364-7373,72202-3591,AR,ACTIVE,7/23/15,null,FALSE,,,,,,,,,,1,Nervous System Neoplasm,C3268,,,,"MEDULLOBLASTOMA, MALIGNANT",,,,,,,,,,,,,,,2,TRUE,"A pre-operative magnetic resonance imaging (MRI) scan of the brain with and without contrast is required; NOTE: computed tomography (CT) scans are NOT sufficient for study eligibility\r\n* Post-operative head MRI scan with and without contrast (preferably within 72 hours post-surgery); for patients who undergo stereotactic biopsy only, either a pre or post-operative MRI is sufficient; for patients with M2 and M3 disease, a post-op MRI is strongly encouraged, but not mandatory\r\n* Spinal MRI imaging with and without gadolinium is required within 10 days of surgery if done pre-operatively or within 28 days of surgery if done post-operatively; for posterior fossa tumors, pre-operative MRI scans are preferred",,,,,,,,,,,,,,Carloxan,
,,,,,,Study Protocol Other Identifier,COG-ACNS0332,,,Metacognition Index (MI) on the Behavior Rating Inventory of Executive Function (BRIEF) at 60+/-12 months post diagnosis for medulloblastoma patients,"Metacognition index (MI) was measured by BRIEF test. Assessments within the time window, from eligible and evaluable patients are reported. If the patient had disease progression, only the assessments before progression date were reported. The MI is a standard T- score, and it ranges from 0 to 100. The higher score reported suggests a higher level of dysfunction. Mean and standard deviation of MI were calculated and reported.",48 – 72 months post diagnosis,SECONDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,3100 Southwest 62nd Avenue,null,Miami,United States,null,null,null,Nicklaus Children's Hospital,null,888-624-2778,33155,FL,ACTIVE,7/24/15,null,FALSE,25.7365,-80.3112,,,,,,,,,,,,,,Medulloblastomas,,,,,,,,,,,,,,,3,TRUE,"Lumbar cerebrospinal fluid (CSF) cytology examination must be obtained pre-operatively or within 31 days following surgery; the optimal time for obtaining CSF is prior to surgery or 1-3 weeks following surgery; ventricular CSF (either pre- or post-op) may be used only if a post-operative spinal tap is contraindicated; if a spinal tap is contraindicated and there is no ventricular CSF available, then CSF cytology can be waived for patients with supratentorial tumors or if there is documentation of spinal subarachnoid metastases (M3); patients who are categorized as M1 must have either an intra-operative positive CSF (via lumbar puncture at the end of the procedure) or a positive lumbar CSF obtained > 7 days post-operatively",,,,,,,,,,,,,,Cicloxal,
,,,,,,,,,,The estimated full-scale IQ (FSIQ) at 60+/-12 months post diagnosis for medulloblastoma patients,"Post-treatment neurocognitive function was assessed. Full-scale IQ (FSIQ) is a representative measurement for neurocognitive function. FSIQ was measured by IQ tests. Assessments within the time window, from eligible and evaluable patients are reported. The time window is 60+/-12 months post diagnosis, only the assessments before progression date were reported. The Range of FSIQ is 50-150. A higher FSIQ is better. Mean and standard deviation of FSIQ were calculated and reported.",48 – 72 months post diagnosis,SECONDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,704-355-2884,CLOSED_TO_ACCRUAL,9/7/18,,1000 Blythe Boulevard,null,Charlotte,United States,null,null,null,Carolinas Medical Center / Levine Cancer Institute,null,704-355-2884,28203,NC,ACTIVE,5/29/15,null,FALSE,35.2083,-80.8578,,,,,,,,,,,,,,medulloblastoma,,,,,,,,,,,,,,,4,TRUE,Patients must have a Karnofsky performance level of >= 30 for patients > 16 years of age or a Lansky performance scale of >= 30 for patients =< 16 years of age and life expectancy > 8 weeks,,,,,,,,,,,,,,Cycloblastin,
,,,,,,,,,,The estimated full-scale IQ (FSIQ) at 30+/-6 months post diagnosis for SPNET patients,"Post-treatment neurocognitive function was assessed. Full-scale IQ (FSIQ) is a representative measurement for neurocognitive function. FSIQ was measured by IQ tests. Assessments within the time window, from eligible and evaluable patients are reported. The time window is 30+/-6 months post diagnosis, only the assessments before progression date were reported. The Range of FSIQ is 50-150. A higher FSIQ is better. Mean and standard deviation of FSIQ were calculated and reported.",24 – 36 months post diagnosis,SECONDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,801 Seventh Avenue,null,Fort Worth,United States,CookChildrensResearch@cookchildrens.org,null,null,Cook Children's Medical Center,null,682-885-2103,76104,TX,ACTIVE,12/31/08,null,FALSE,32.7282,-97.3172,,TRIAL,NO,C92625,Anaplastic Medulloblastoma,Anaplastic Medulloblastoma,1,0,Central Nervous System Neoplasm,C9293,grade,subtype,Anaplastic medulloblastoma,,C3222,,,,,,,,,,,,,,5,TRUE,No previous chemotherapy or radiation therapy,,,,,,,,,,,,,,Cycloblastine,
,,,,,,,,,,Metacognition Index (MI) on the Behavior Rating Inventory of Executive Function (BRIEF) at 9+/-3 months post diagnosis for medulloblastoma patients,"Metacognition index (MI) was measured by BRIEF test. Assessments within the time window, from eligible and evaluable patients are reported. If the patient had disease progression, only the assessments before progression date were reported. The MI is a standard T- score, and it ranges from 0 to 100. The higher score reported suggests a higher level of dysfunction. Mean and standard deviation of MI were calculated and reported.",6 – 12 months post diagnosis,SECONDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,research@sncrf.org,Site Public Contact,702-384-0013,CLOSED_TO_ACCRUAL,9/7/18,,1800 West Charleston Boulevard,null,Las Vegas,United States,research@sncrf.org,null,null,University Medical Center of Southern Nevada,null,702-822-5700,89102,NV,ACTIVE,7/27/15,null,FALSE,36.1433,-115.2004,,,,,,,,1,Nervous System Neoplasm,C3268,,,,,,,,,,,,,,,,,,,6,TRUE,Corticosteroids should not be used during chemotherapy administration as an antiemetic,,,,,,,,,,,,,,Cyclostin,
,,,,,,,,,,Event-free survival (EFS) percentage for patients with medulloblastoma,"The Kaplan-Meier method will be used to estimate 5-year EFS, defined as the time from study enrollment to disease progression or recurrence, second malignant neoplasm, or death from any cause, or to date of last contact. Estimates are reported with 95% confidence intervals. Data below represents all molecular subgroups combined, which fails to reveal that carboplatin provided benefit to Group 3 patients only and provided no benefit to children with Wnt, sonic hedgehog or Group 4 medulloblastoma. Please refer to the published manuscript when it becomes available or reach out to the study PI before making treatment decisions based on this data.",Up to 5 years from study enrollment,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,310-222-3621,CLOSED_TO_ACCRUAL,9/7/18,,1124 West Carson Street,null,Torrance,United States,irb@lundquist.org,null,null,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,null,310-222-3621,90502,CA,ACTIVE,11/4/19,null,FALSE,33.8359,-118.2928,,TREE,YES,C4627,Malignant Central Nervous System Neoplasm,Malignant Central Nervous System Neoplasm,,,,,subtype,,,CNS Cancer,C9293,C4788,,,,,,,,,,,,,7,TRUE,"Selected strong inhibitors of cytochrome P450, family 3, subfamily A, polypeptide 4 (cytochrome P450 3A4) include azole antifungals, such as fluconazole, voriconazole, itraconazole, ketoconazole, and strong inducers include drugs such as rifampin, phenytoin, phenobarbitol, carbamazepine, and St. John’s wort; the use of these drugs should be avoided with vincristine (vincristine sulfate)",,,,,,,,,,,,,,Cyclostine,
,,,,,,,,,,Response rate to radiation therapy for patients with medulloblastoma,Percentages of patients with responses after radiation therapy (induction therapy) are reported with 95% confidence intervals. Complete and partial responses were considered responses.,12 weeks after treatment initiation,SECONDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,310-423-8965,CLOSED_TO_ACCRUAL,9/7/18,,8700 Beverly Blvd,null,Los Angeles,United States,null,null,null,Cedars Sinai Medical Center,null,310-423-8965,90048,CA,ACTIVE,5/22/17,null,FALSE,34.0726,-118.3727,,,,,,,,,,,,,,CNS Malignant Neoplasms,,,,,,,,,,,,,,,8,TRUE,CYP450 3A4 stimulators or inhibitors should be avoided or used with great caution when taking cyclophosphamide; aprepitant should also be used with caution with etoposide or vincristine chemotherapy,,,,,,,,,,,,,,Cytophosphan,
,,,,,,,,,,Event-free survival (EFS) percentage for patients with supratentorial primitive neuroectodermal tumor (SPNET),"The Kaplan-Meier method will be used to estimate 5-year EFS, defined as the time from study enrollment to disease progression or recurrence, second malignant neoplasm, or death from any cause, or to date of last contact. Estimates are reported with 95% confidence intervals. SPNET is no longer recognized by WHO (World Health Organization) as a disease entity. Additional trial information can be found under PubMed # 30332335.",Up to 5 years from study enrollment,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,708-226-4357,CLOSED_TO_ACCRUAL,9/7/18,,2160 South First Avenue,null,Maywood,United States,null,null,null,Loyola University Medical Center,null,708-226-4357,60153,IL,ACTIVE,12/30/08,null,FALSE,41.8685,-87.8451,,,,,,,,,,,,,,"CNS Neoplasms, Malignant",,,,,,,,,,,,,,,9,TRUE,Cisplatin should be used with caution with nephrotoxic drug; aminoglycoside should be avoided or used with caution during or shortly after cisplatin administration and concomitant use with amphotericin B should probably also be avoided; patients receiving cisplatin and other potentially ototoxic drugs such as aminoglycoside or loop diuretics concomitantly should be closely monitored for signs of ototoxicity\r\n* Plasma levels of anticonvulsant agents should be monitored and doses adjusted during therapy with cisplatin,,,,,,,,,,,,,,Fosfaseron,
,,,,,,,,,,Overall survival (OS) percentage for patients with medulloblastoma,"The Kaplan-Meier method will be used to estimate 5-year OS, defined as the time from study enrollment to death from any cause, or to date of last contact. Estimates are reported with 95% confidence intervals. Data below represents all molecular subgroups combined, which fails to reveal that carboplatin provided benefit to Group 3 patients only and provided no benefit to children with Wnt, sonic hedgehog or Group 4 medulloblastoma. Please refer to the published manuscript when it becomes available or reach out to the study PI before making treatment decisions based on this data.",Up to 5 years from study enrollment,SECONDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,3020 Children's Way,null,San Diego,United States,null,Moores Comprehensive Cancer Center,null,Rady Children's Hospital - San Diego,ORGANIZATIONAL,858-966-5934,92123,CA,ACTIVE,8/2/10,null,FALSE,32.8053,-117.1356,,,,,,,,,,,,,,Cancer of CNS,,,,,,,,,,,,,,,10,TRUE,No other experimental therapy is permitted while on study,,,,,,,,,,,,,,Genoxal,
