"nci_id","nct_id","protocol_id","ccr_id","ctep_id","dcp_id","other_ids__name","other_ids__value","associated_studies","outcome_measures__name","outcome_measures__description","outcome_measures__timeframe","outcome_measures__type_code","amendment_date","current_trial_status","current_trial_status_date","start_date","start_date_type_code","completion_date","completion_date_type_code","record_verification_date","brief_title","official_title","acronym","keywords","brief_summary","detail_description","classification_code","interventional_model","study_source","accepts_healthy_volunteers_indicator","study_protocol_type","study_subtype_code","study_population_description","study_model_code","study_model_other_text","sampling_method_code","bio_specimen__f1","bio_specimen__f2","bio_specimen__f3","bio_specimen__f4","primary_purpose__primary_purpose_code","primary_purpose__primary_purpose_other_text","primary_purpose__primary_purpose_additional_qualifier_code","phase__phase","phase__phase_other_text","phase__phase_additional_qualifier_code","masking__masking","masking__masking_allocation_code","masking__masking_role_investigator","masking__masking_role_outcome_assessor","masking__masking_role_subject","masking__masking_role_caregiver","principal_investigator","central_contact__central_contact_email","central_contact__central_contact_name","central_contact__central_contact_phone","central_contact__central_contact_type","lead_org","collaborators__name","collaborators__functional_role","sites__contact_email","sites__contact_name","sites__contact_phone","sites__recruitment_status","sites__recruitment_status_date","sites__local_site_identifier","sites__org_address_line_1","sites__org_address_line_2","sites__org_city","sites__org_country","sites__org_email","sites__org_family","sites__org_fax","sites__org_name","sites__org_to_family_relationship","sites__org_phone","sites__org_postal_code","sites__org_state_or_province","sites__org_status","sites__org_status_date","sites__org_tty","sites__org_va","sites__org_coordinates__lat","sites__org_coordinates__lon","anatomic_sites__-","diseases__inclusion_indicator","diseases__lead_disease_indicator","diseases__nci_thesaurus_concept_id","diseases__preferred_name","diseases__display_name","diseases__paths__direction","diseases__paths__concepts__idx","diseases__paths__concepts__label","diseases__paths__concepts__code","diseases__type__001","diseases__type__002","diseases__synonyms__001","diseases__synonyms__002","diseases__synonyms__003","diseases__synonyms__004","diseases__synonyms__005","diseases__synonyms__006","diseases__synonyms__007","diseases__synonyms__008","diseases__synonyms__009","diseases__synonyms__010","diseases__synonyms__011","diseases__synonyms__012","diseases__synonyms__013","diseases__parents__001","diseases__parents__002","diseases__parents__003","biomarkers","minimum_target_accrual_number","eligibility__structured__gender","eligibility__structured__max_age","eligibility__structured__max_age_number","eligibility__structured__max_age_unit","eligibility__structured__min_age","eligibility__structured__min_age_number","eligibility__structured__min_age_unit","eligibility__structured__max_age_in_years","eligibility__structured__min_age_in_years","eligibility__unstructured__display_order","eligibility__unstructured__inclusion_indicator","eligibility__unstructured__description","number_of_arms","arms__arm_name","arms__arm_type","arms__arm_description","arms__interventions__intervention_name","arms__interventions__intervention_type","arms__interventions__intervention_code","arms__interventions__intervention_description","arms__interventions__parents__-","arms__interventions__inclusion_indicator","arms__interventions__synonyms__001","arms__interventions__synonyms__002","arms__interventions__synonyms__003","arms__interventions__synonyms__004","arms__interventions__synonyms__005","arms__interventions__synonyms__006","arms__interventions__synonyms__007","arms__interventions__intervention_category"
"NCI-2012-00112","NCT01503086","ACCL10P1","null","ACCL10P1","COG-ACCL10P1","Study Protocol Other Identifier","CDR0000721387","null","Proportion of patients with intervention compliance","Intervention compliance defined as at least 80% of sessions completed (i.e., completing at least 20 sessions within 9 weeks of starting training).","Up to 9 weeks of starting training","PRIMARY","2018-08-06T00:00:00","Active","2013-11-18","2013-11-18","ACTUAL","null","null","2018-09-22","Computer Training Program for Younger Patients with a Brain Tumor Who Underwent Radiation Therapy","Computerized Cognitive Training for Pediatric Brain Tumor Patients: A Pilot Study","null","null","This randomized clinical trial studies how well an adaptive computerized cognitive training program works compared to a non-adaptive computerized cognitive training program in treating younger patients with brain tumor who underwent radiation therapy. Providing a computer training program may improve the well-being and quality of life of patients with cognitive (physical and mental) function difficulties caused by radiation therapy to the brain.","PRIMARY OBJECTIVES:\r\nI. To assess the feasibility of a home-based, computerized, cognitive training program for patients with pediatric brain tumors who are undergoing cranial radiation therapy (CRT), treated in multiple Children Oncology Group (COG) institutions.\r\n\r\nEXPLORATORY OBJECTIVES:\r\nI. To estimate the effect size of this program on measures of attention and working memory in patients with brain tumors treated with CRT in order to design a definitive large-scale clinical trial.\r\n\r\nOUTLINE: Patients are randomized to 1 of 2 arms.\r\n\r\nARM I (intervention): Patients undergo a home-based, computerized, interactive training program comprising 3-5 sessions of 15-45 minutes every week for 5-9 weeks. The program contains twelve visually engaging and interesting exercises that target skills involving visual-spatial and verbal working memory (WM). The program is adaptive in a way that each difficulty task is automatically adjusted on a trial-by-trail basis to match a patient’s current WM. Each patient has an interventional coach who has online access to patient's training sessions and outcomes (pass or fail). Coaches are able to modify the training sequence or make suggestions to patients and/or parents about how progress can be maximized. Coaches also have telephone meetings with patients and/or families once a week to ensure compliance, track progress, provide feedback, and answer questions that arise during training.\r\n\r\nARM II (control): Patients undergo a home-based, computerized, interactive, non-adaptive training program comprising 3-5 sessions of 15-45 minutes a week for 5-9 weeks. Each patient also has an interventional coach as in arm I. Patients in both arms complete a brief neuropsychological/behavioral assessment comprising the Wechsler Intelligence Scale for Children (WIS-IV), the Children's Memory Scale (CMS), and the California Verbal Learning Test-Children's Version (CVLT-C) at baseline, after completion of study, and at 6 months after completion of study. Additionally, parents complete a parent-report questionnaire to gather information about patient's behaviors, thoughts, emotions, adaptive skills, and social and functional impairment. Parents and children also complete surveys about the program regarding technical feasibility, adherence, ease-of-use, and satisfaction.\r\n\r\nAfter completion of study treatment, participants are followed up within 3 weeks, then at 6 months.","Efficacy","Parallel","National","NO","Interventional","null","null","null","null","null","bio_specimen_description","null","bio_specimen_retention_code","null","SUPPORTIVE_CARE","null","null","NA","null","YES","OPEN","Randomized Controlled Trial","null","OUTCOMES_ASSESSOR","null","null","Kristina Koren Hardy","null","null","null","null","Children's Oncology Group","National Cancer Institute","FUNDING_SOURCE","josh.b.gordon@nsmtp.kp.org","Site Public Contact","303-764-5056","IN_REVIEW","2018-10-18","","13123 East 16th Avenue","null","Aurora","United States","josh.b.gordon@nsmtp.kp.org","University of Colorado Cancer Center","null","Children's Hospital Colorado","ORGANIZATIONAL","720-777-1234","80045","CO","ACTIVE","2013-01-21","null","False","39.7462","-104.837","Brain and Nervous System","TRIAL","YES","C2907","Brain Neoplasm","Brain Tumor","1","0","Central Nervous System Neoplasm","C9293","subtype","","Brain Neoplasm","Brain Neoplasms","Neoplasm of Brain","Neoplasm of the Brain","Tumor of Brain","Tumor of the Brain","brain tumor","","","","","","","C96413","C4953","","null","71","BOTH","16 Years","16","Years","6 Years","6","Years","16","6","1","True","Patient must be newly diagnosed or relapsed/progressed with a brain tumor that has not previously been treated with CRT\r\n* Note: COG therapeutic study participation is not required for ACCL10P1 enrollment","2","Arm II (non-adaptive training program)","EXPERIMENTAL","Patients undergo a home-based, computerized, interactive, non-adaptive training program comprising 3-5 sessions of 15-45 minutes a week for 5-9 weeks. Each patient also has an interventional coach as in arm I. Patients in both arms complete a brief neuropsychological/behavioral assessment comprising the WIS-IV, the CMS, and the CVLT-C at baseline, after completion of study, and at 6 months after completion of study. Additionally, parents complete a parent-report questionnaire to gather information about patient's behaviors, thoughts, emotions, adaptive skills, and social and functional impairment. Parents and children also complete surveys about the program regarding technical feasibility, adherence, ease-of-use, and satisfaction.","Computer-Assisted Cognitive Training","Other","C116532","null","C17705","TRIAL","","","","","","","","Other"
"","","","","","","Study Protocol Other Identifier","COG-ACCL10P1","","Working memory (WM) using the Metacognition subscales from (BRIEF)","null","Up to 6 months post training completion","OTHER_PRE_SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","samantha.mallory@unitypoint.org","Site Public Contact","515-241-8912","ACTIVE","2018-07-20","","1200 Pleasant Street","null","Des Moines","United States","samantha.mallory@unitypoint.org","null","null","Blank Children's Hospital","null","515-241-6729","50309","IA","ACTIVE","2014-01-27","null","False","41.5836","-93.6292","","","","","","","","1","Nervous System Neoplasm","C3268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","True","Patient enrollment must occur within 4 calendar months following completion of CRT\r\n* Reminder: after patient enrollment, baseline testing followed by randomization must occur within 2-4 months after completion of CRT","","","","","Questionnaire Administration","Other","C64253","null","C64255","TRIAL","","","","","","","","Other"
"","","","","","","","","","Satisfaction based on the item responses to the 13-item Feasibility Interview","null","Up to 6 months post training completion","OTHER_PRE_SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","null","Site Public Contact","800-622-8922","ACTIVE","2018-11-09","","600 Highland Avenue","null","Madison","United States","null","University of Wisconsin Carbone Cancer Center","null","University of Wisconsin Hospital and Clinics","ORGANIZATIONAL","608-262-5223","53792","WI","ACTIVE","2008-12-31","null","False","43.0769","-89.4329","","TRIAL","NO","C71698","Recurrent Brain Neoplasm","Recurrent Brain Neoplasm","1","0","Central Nervous System Neoplasm","C9293","stage","","Recurrent Brain Tumor","","","","","","","","","","","","","C2907","C170814","C71700","","","","","","","","","","","","3","True","The patient must have an identified caregiver who is willing and able to oversee the training practice during the intervention period (ie, for 5-9 weeks starting approximately 3 months after completion of CRT)","","","","","Cognitive Assessment","Procedure / Surgery","C62736","null","C25305","TRIAL","","","","","","","","Other"
"","","","","","","","","","Parent-rated executive function using the Metacognition subscales from the Behavior Rating Inventory of Executive Function (BRIEF)","null","Up to 6 months post training completion","OTHER_PRE_SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","null","Site Public Contact","336-713-6771","ACTIVE","2020-03-09","","Medical Center Boulevard","null","Winston-Salem","United States","null","Wake Forest Baptist Comprehensive Cancer Center","null","Wake Forest University Health Sciences","ORGANIZATIONAL","336-713-6771","27157","NC","ACTIVE","2008-12-31","null","False","36.0964","-80.2096","","","","","","","","1","Nervous System Neoplasm","C3268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","True","The patient must have access to a telephone and phone number where they can be reached","","","","","Psychosocial Assessment and Care","Procedure / Surgery","C15514","null","C15747","TRIAL","Psychosocial Care / Assessment","","","","","","","Other"
"","","","","","","","","","Ease of use based on the item responses to the 13-item Feasibility Interview","null","Up to 6 months post training completion","OTHER_PRE_SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","referralinfo@stjude.org","Site Public Contact","888-226-4343","ACTIVE","2019-03-18","","262 Danny Thomas Place","null","Memphis","United States","referralinfo@stjude.org","St. Jude Children's Research Hospital","null","Saint Jude Children's Research Hospital","ORGANIZATIONAL","901-595-4357\r866-278-5833","38105","TN","ACTIVE","2020-05-18","null","False","35.1506","-90.0341","","TREE","NO","C3268","Nervous System Neoplasm","Nervous System Tumor","","","","","maintype","","Neoplasm of Nervous System","Neoplasm of the Nervous System","Nervous System Neoplasm","Nervous System Neoplasms","Nervous System Tumour","Tumor of Nervous System","Tumor of the Nervous System","","","","","","","C3263","C26835","","","","","","","","","","","","","5","True","The patient and caregiver must have reading, speaking and listening comprehension of English","","","","","Quality-of-Life Assessment","Other","C15584","null","C15747","TRIAL","Quality of Life Assessment","","","","","","","Other"
"","","","","","","","","","Executive function using the Groton Maze Learning task of the CogState battery","null","Up to 6 months post training completion","OTHER_PRE_SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dperry@nemours.org","Site Public Contact","302-651-6884","ACTIVE","2020-06-05","","1600 Rockland Road","null","Wilmington","United States","dperry@nemours.org","null","null","Alfred I duPont Hospital for Children","null","302-651-5755","19803","DE","ACTIVE","2010-07-21","null","False","39.7973","-75.5445","","TREE","YES","C2934","Central Nervous System Disorder","Central Nervous System Disorder","","","","","subtype","","Central Nervous System Disease","Disorder of Central Nervous System","","","","","","","","","","","","C26835","","","","","","","","","","","","","","6","False","Patients with pontine glioma are not eligible","","","","","Training","Other","C17705","","C51306","TREE","Training Programs","","","","","","","NONE"
"","","","","","","","","","Technical feasibility based on the item responses to the 13-item Feasibility Interview","null","Up to 6 months post training completion","OTHER_PRE_SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Leann.Schilling@choa.org","Site Public Contact","404-785-2025","TEMPORARILY_CLOSED_TO_ACCRUAL","2020-03-14","","1405 Clifton Road Northeast","null","Atlanta","United States","Leann.Schilling@choa.org","Winship Cancer Institute of Emory University","null","Children's Healthcare of Atlanta - Egleston","ORGANIZATIONAL","888-785-1112","30322","GA","ACTIVE","2008-12-30","null","False","33.792","-84.3239","","TREE","NO","C9293","Central Nervous System Neoplasm","Brain/Spinal Cord Tumor","","","","","maintype","subtype","CNS Neoplasm","CNS Tumor","CNS tumor","Central Nervous System Neoplasm","Central Nervous System Tumor","Neoplasm of CNS","Neoplasm of Central Nervous System","Neoplasm of the Central Nervous System","Tumor of CNS","Tumor of Central Nervous System","Tumor of the CNS","Tumor of the Central Nervous System","central nervous system tumor","C2934","C3268","","","","","","","","","","","","","7","False","Patients with an estimated survival of less than one year are not eligible","","","","","Educational Activity","Other","C51306","","C43431","TREE","","","","","","","","NONE"
"","","","","","","","","","Visual memory using Dot Location from Children’s Memory Scale","null","Up to 6 months post training completion","OTHER_PRE_SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","null","Site Public Contact","407-650-7150","ACTIVE","2020-06-05","","13535 Nemours Parkway","null","Orlando","United States","null","null","null","Nemours Children's Hospital","null","407-650-7150","32827","FL","ACTIVE","2012-10-02","null","False","28.4288","-81.3094","","TREE","YES","C9293","Central Nervous System Neoplasm","Brain/Spinal Cord Tumor","","","","","maintype","subtype","CNS Neoplasm","CNS Tumor","CNS tumor","Central Nervous System Neoplasm","Central Nervous System Tumor","Neoplasm of CNS","Neoplasm of Central Nervous System","Neoplasm of the Central Nervous System","Tumor of CNS","Tumor of Central Nervous System","Tumor of the CNS","Tumor of the Central Nervous System","central nervous system tumor","C2934","C3268","","","","","","","","","","","","","8","False","Patients with a history of traumatic brain injury prior to tumor diagnosis are not eligible","","","","","Activity","Other","C43431","","","TREE","Activity","General activity","","","","","","NONE"
"","","","","","","","","","WM by the one-back task from CogState","null","Up to 6 months post training completion","OTHER_PRE_SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rryan@cmh.edu","Site Public Contact","816-302-6808","ACTIVE","2018-12-10","","2401 Gillham Road","null","Kansas City","United States","rryan@cmh.edu","University of Kansas Cancer Center","null","Children's Mercy Hospitals and Clinics","ORGANIZATIONAL","816-234-3000","64108","MO","ACTIVE","2019-02-11","null","False","39.084","-94.5849","","TREE","NO","C4798","Recurrent Neoplasm","Recurrent Neoplasm","","","","","stage","","Neoplasm Recurrence","Recurrence","Recurrent Tumor","recurrence","","","","","","","","","","C7062","","","","","","","","","","","","","","9","False","Patients with a motor, visual, or auditory handicap that prevents computer use (e.g., unresolved posterior fossa syndrome) are not eligible to participate in this trial","","","","","Informational Intervention","Other","C64255","","C63474","TREE","","","","","","","","NONE"
"","","","","","","","","","WM by Digit Span from Wechsler Intelligence Scales","null","Up to 6 months post training completion","OTHER_PRE_SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","null","Site Public Contact","202-884-2549","ACTIVE","2014-10-06","","111 Michigan Avenue Northwest","null","Washington","United States","null","null","null","Children's National Medical Center","null","202-884-2549","20010","DC","ACTIVE","2008-12-30","null","False","38.9322","-77.028","","TREE","NO","C170814","Primary Brain Neoplasm","Primary Brain Neoplasm","","","","","subtype","","","","","","","","","","","","","","","C102871","","","","","","","","","","","","","","10","False","Patients with full-scale intelligence quotient (IQ) < 70 per previous testing OR existing diagnosis of/educational classification as a student with an intellectual disability are not eligible","","","","","Behavioral, Psychological or Informational Intervention","Other","C63474","","C25218","TREE","","","","","","","","NONE"
